Lose,74,52
Win,104,34
Lose,74,52
Lose,89,52
Win,101,27
Win,105,24
Lose,83,52
Win,105,46
Win,113,34
Lose,83,52
Lose,87,52
Win,103,46
Win,106,31
Win,117,28
Lose,83,52
Lose,81,52
Lose,81,52
Lose,87,52
Win,106,47
Win,114,26
Lose,84,52
Win,101,19
Win,117,30
Win,100,21
Win,111,45
Lose,77,52
Win,117,44
Win,110,25
Win,104,14
Win,108,41
Win,105,27
Win,109,46
Lose,97,52
Win,108,16
Win,104,23
Win,102,44
Win,106,43
Lose,76,52
Win,113,25
Win,113,32
Win,102,22
Win,102,28
Lose,71,52
Lose,85,52
Lose,72,52
Lose,86,52
Win,106,45
Lose,76,52
Lose,86,52
Lose,92,52
Win,102,44
Lose,93,52
Lose,78,52
Win,115,52
Win,102,46
Win,100,50
Win,107,48
Win,106,34
Win,102,41
Win,103,45
Lose,89,52
Win,106,19
Win,104,35
Lose,85,52
Lose,76,52
Win,103,21
Lose,90,52
Win,102,22
Lose,87,52
Win,115,13
Win,103,43
Win,100,52
Win,113,13
Win,111,35
Lose,75,52
Win,101,25
Win,100,40
Lose,84,52
Win,100,27
Lose,90,52
Lose,72,52
Lose,86,52
Win,102,35
Lose,88,52
Win,114,49
Win,103,16
Lose,83,52
Lose,89,52
Lose,80,52
Lose,86,52
Win,103,47
Lose,74,52
Win,106,40
Lose,85,52
Lose,81,52
Win,104,12
Win,109,45
Win,103,49
Lose,88,52
Lose,84,52
Lose,80,52
Win,107,52
Win,100,46
Lose,84,52
Lose,72,52
Lose,89,52
Lose,86,52
Win,110,35
Win,100,34
Win,105,18
Lose,79,52
Lose,92,52
Win,105,25
Lose,79,52
Win,105,21
Win,106,43
Win,106,23
Win,110,31
Win,105,26
Lose,97,52
Lose,94,52
Win,102,50
Win,106,14
Lose,87,52
Lose,86,52
Win,107,28
Win,111,39
Win,103,50
Lose,84,52
Lose,82,52
Lose,82,52
Win,110,30
Lose,79,52
Lose,78,52
Lose,90,52
Win,103,34
Win,100,45
Win,102,48
Win,125,26
Lose,82,52
Win,103,35
Win,105,37
Win,104,48
Lose,87,52
Lose,77,52
Win,113,46
Win,100,49
Lose,88,52
Lose,82,52
Lose,92,52
Lose,91,52
Win,112,48
Win,104,52
Lose,82,52
Win,101,39
Lose,90,52
Win,113,30
Win,101,46
Win,102,51
Win,112,12
Win,101,38
Win,105,18
Win,102,50
Win,103,43
Win,101,25
Lose,77,52
Win,100,27
Win,102,51
Win,102,49
Win,105,21
Lose,85,52
Lose,85,52
Lose,92,52
Win,101,46
Lose,85,52
Lose,96,52
Win,108,52
Lose,82,52
Win,100,50
Lose,79,52
Lose,80,52
Lose,93,52
Lose,79,52
Win,108,29
Win,109,28
Win,100,47
Lose,88,52
Lose,84,52
Win,102,43
Win,113,41
Win,114,30
Win,102,51
Win,101,45
Win,102,43
Win,113,47
Win,116,43
Lose,85,52
Lose,92,52
Lose,79,52
Win,101,32
Lose,74,52
Win,104,41
Win,107,49
Win,109,11
Win,106,39
Win,101,15
Lose,90,52
Lose,78,52
Win,107,35
Win,113,45
Lose,83,52
Lose,82,52
Lose,93,52
Lose,71,52
Lose,93,52
Lose,77,52
Lose,86,52
Win,101,49
Lose,84,52
Win,108,40
Lose,87,52
Lose,94,52
Win,108,48
Win,103,45
Lose,97,52
Lose,82,52
Lose,81,52
Lose,71,52
Lose,91,52
Win,103,34
Lose,81,52
Lose,75,52
Win,100,20
Win,100,31
Win,101,49
Lose,87,52
Win,101,27
Lose,81,52
Win,100,47
Lose,89,52
Lose,74,52
Win,113,29
Win,114,43
Lose,85,52
Lose,83,52
Win,102,50
Win,102,33
Win,101,22
Win,107,47
Lose,90,52
Lose,76,52
Win,101,29
Win,106,39
Win,104,19
Lose,85,52
Win,100,16
Lose,80,52
Lose,88,52
Win,117,40
Lose,93,52
Lose,88,52
Lose,79,52
Lose,94,52
Win,102,38
Win,113,41
Lose,82,52
Lose,79,52
Win,105,47
Win,108,43
Win,112,19
Lose,96,52
Win,100,17
Lose,74,52
Win,101,18
Lose,75,52
Lose,73,52
Win,100,22
Win,109,50
Lose,76,52
Win,106,35
Win,101,41
Win,115,49
Lose,69,52
Win,100,48
Win,100,9
Lose,80,52
Win,107,44
Win,107,41
Lose,82,52
Win,100,32
Lose,93,52
Win,116,24
Win,101,43
Win,107,47
Win,106,50
Win,108,32
Lose,88,52
Lose,92,52
Lose,74,52
Lose,76,52
Win,100,52
Win,102,32
Win,104,45
Win,101,36
Lose,74,52
Lose,77,52
Lose,82,52
Lose,87,52
Lose,79,52
Win,105,36
Lose,68,52
Win,100,20
Win,110,40
Win,110,48
Win,105,22
Lose,71,52
Lose,87,52
Lose,84,52
Win,103,49
Win,106,34
Win,103,33
Lose,89,52
Win,109,37
Lose,87,52
Lose,78,52
Lose,70,52
Win,115,42
Lose,91,52
Lose,86,52
Lose,79,52
Lose,70,52
Lose,97,52
Lose,85,52
Lose,78,52
Lose,92,52
Lose,89,52
Win,101,27
Win,104,48
Lose,85,52
Lose,91,52
Win,105,31
Win,101,32
Win,104,47
Lose,85,52
Win,105,50
Win,101,45
Lose,89,52
Win,102,15
Win,100,12
Win,118,30
Win,102,48
Lose,71,52
Win,101,29
Lose,95,52
Win,110,11
Win,103,47
Win,122,38
Win,102,48
Win,111,48
Lose,78,52
Lose,73,52
Lose,86,52
Win,103,29
Win,101,39
Win,101,46
Win,106,40
Win,107,33
Win,108,46
Win,103,47
Win,109,36
Win,113,24
Win,101,52
Win,116,48
Lose,72,52
Lose,80,52
Win,101,22
Lose,82,52
Win,111,40
Win,100,16
Win,102,30
Win,111,43
Lose,78,52
Win,101,23
Win,108,37
Win,107,40
Win,109,43
Win,103,50
Win,109,46
Lose,93,52
Lose,82,52
Lose,79,52
Win,100,30
Lose,85,52
Win,113,37
Win,107,42
Win,109,37
Win,101,40
Win,114,47
Win,109,34
Win,102,46
Lose,84,52
Win,102,51
Lose,85,52
Lose,88,52
Lose,94,52
Win,102,30
Lose,77,52
Win,100,47
Lose,84,52
Lose,76,52
Win,107,47
Win,110,14
Win,112,39
Win,101,45
Win,102,17
Win,101,44
Win,106,35
Win,104,48
Win,106,34
Lose,75,52
Lose,83,52
Win,115,23
Lose,83,52
Win,114,49
Lose,78,52
Win,104,46
Win,100,34
Win,109,39
Lose,82,52
Win,102,49
Lose,82,52
Lose,93,52
Lose,75,52
Lose,87,52
Win,105,38
Lose,89,52
Win,105,31
Lose,83,52
Lose,81,52
Win,100,52
Win,101,17
Lose,97,52
Win,103,46
Win,103,30
Lose,82,52
Lose,80,52
Win,101,51
Lose,90,52
Win,100,42
Win,105,32
Win,107,44
Lose,83,52
Lose,75,52
Win,105,20
Win,113,26
Win,103,44
Win,114,27
Win,115,42
Lose,78,52
Win,132,51
Lose,79,52
Win,106,22
Lose,94,52
Lose,93,52
Lose,99,52
Lose,89,52
Win,106,31
Win,100,18
Win,110,22
Win,103,15
Lose,73,52
Lose,86,52
Win,112,50
Win,101,27
Lose,98,52
Lose,95,52
Win,105,35
Win,104,26
Lose,77,52
Lose,88,52
Win,101,47
Lose,80,52
Win,103,30
Lose,91,52
Lose,81,52
Win,100,51
Lose,84,52
Lose,93,52
Win,102,32
Win,103,48
Lose,80,52
Lose,86,52
Win,101,28
Lose,84,52
Lose,88,52
Win,103,36
Win,102,37
Lose,96,52
Lose,96,52
Win,106,27
Win,107,34
Lose,97,52
Win,104,48
Win,102,47
Win,115,41
Lose,83,52
Lose,83,52
Win,109,30
Win,102,45
Win,103,35
Lose,75,52
Lose,84,52
Lose,87,52
Win,108,25
Lose,86,52
Lose,72,52
Lose,80,52
Win,100,19
Win,101,44
Win,104,24
Win,110,38
Win,101,38
Win,108,25
Win,100,46
Lose,78,52
Win,104,18
Lose,84,52
Lose,84,52
Win,113,36
Lose,82,52
Win,100,27
Win,102,50
Win,101,51
Win,100,36
Win,114,51
Lose,86,52
Lose,94,52
Lose,88,52
Win,101,45
Win,103,31
Lose,82,52
Win,107,49
Win,104,46
Win,103,48
Win,110,50
Win,120,50
Win,104,49
Lose,80,52
Win,106,44
Lose,97,52
Win,100,42
Lose,80,52
Win,116,19
Lose,67,52
Lose,82,52
Win,108,23
Win,102,41
Lose,80,52
Win,113,9
Win,103,41
Lose,80,52
Lose,80,52
Lose,92,52
Lose,85,52
Win,100,42
Lose,93,52
Lose,90,52
Win,104,43
Win,102,41
Win,103,45
Lose,85,52
Win,100,34
Lose,80,52
Lose,74,52
Win,100,49
Lose,84,52
Lose,75,52
Lose,95,52
Win,102,13
Lose,81,52
Win,105,44
Win,101,25
Lose,81,52
Win,101,33
Win,113,22
Win,106,24
Win,100,46
Lose,80,52
Win,106,37
Lose,94,52
Lose,87,52
Win,103,31
Lose,77,52
Win,101,22
Win,100,23
Lose,76,52
Win,101,50
Win,108,15
Win,115,26
Win,104,42
Win,104,44
Lose,87,52
Lose,88,52
Lose,83,52
Win,101,52
Lose,90,52
Win,100,47
Lose,88,52
Lose,89,52
Lose,82,52
Win,109,40
Lose,91,52
Win,100,45
Win,115,30
Win,114,44
Lose,88,52
Win,102,37
Win,100,47
Win,106,14
Win,109,24
Win,100,47
Lose,92,52
Lose,84,52
Lose,77,52
Win,103,39
Lose,76,52
Win,103,49
Lose,86,52
Win,102,36
Lose,82,52
Lose,76,52
Win,107,41
Lose,95,52
Lose,81,52
Win,117,37
Win,111,45
Lose,89,52
Lose,82,52
Lose,80,52
Win,102,32
Lose,95,52
Lose,83,52
Win,108,38
Win,102,32
Win,100,35
Win,106,13
Win,106,44
Win,101,47
Lose,89,52
Win,109,38
Lose,94,52
Lose,81,52
Lose,94,52
Lose,90,52
Win,100,46
Win,105,45
Lose,87,52
Win,105,32
Lose,75,52
Win,103,38
Win,105,36
Win,110,28
Win,103,51
Lose,80,52
Win,101,7
Win,118,33
Win,104,25
Lose,93,52
Lose,72,52
Lose,75,52
Win,100,43
Lose,85,52
Lose,77,52
Lose,83,52
Win,107,50
Lose,90,52
Win,108,43
Lose,89,52
Win,107,43
Win,100,47
Lose,86,52
Win,103,41
Win,100,16
Lose,83,52
Win,101,45
Lose,86,52
Lose,82,52
Win,105,41
Win,101,15
Lose,79,52
Win,101,43
Win,102,48
Win,106,36
Lose,82,52
Win,100,24
Lose,82,52
Lose,91,52
Win,104,41
Win,101,45
Win,110,20
Win,105,33
Lose,76,52
Lose,78,52
Win,102,19
Win,103,41
Win,101,33
Win,101,39
Win,102,41
Lose,76,52
Win,104,38
Win,105,39
Win,115,17
Win,101,52
Lose,77,52
Win,101,48
Lose,72,52
Win,117,26
Win,111,51
Win,103,27
Win,100,41
Win,100,46
