Win,110,51
Win,107,30
Win,119,33
Win,105,46
Win,107,48
Win,113,52
Win,103,42
Win,105,49
Lose,86,52
Win,104,43
Win,107,44
Win,115,45
Win,108,45
Win,100,51
Win,102,50
Win,113,48
Win,101,40
Win,107,40
Win,105,41
Win,103,33
Win,105,52
Win,104,46
Win,117,50
Win,107,46
Win,113,37
Win,101,25
Win,105,33
Win,102,37
Win,103,40
Win,102,38
Win,100,37
Win,120,50
Win,107,25
Win,105,30
Lose,93,52
Win,100,18
Win,101,19
Win,119,49
Win,107,23
Win,111,48
Win,106,38
Win,101,25
Lose,86,52
Lose,89,52
Win,108,48
Win,105,25
Win,124,17
Win,106,46
Win,113,48
Win,100,52
Win,102,25
Win,104,34
Win,109,50
Win,113,50
Win,103,41
Win,106,34
Win,106,21
Win,102,37
Win,116,34
Win,101,50
Win,101,26
Win,121,39
Lose,90,52
Win,104,47
Win,101,28
Win,102,40
Win,120,41
Lose,94,52
Lose,95,52
Win,104,47
Win,104,48
Win,109,41
Win,100,31
Win,101,46
Win,112,47
Win,102,47
Win,118,45
Win,110,48
Win,100,44
Win,101,46
Win,100,47
Win,100,46
Win,100,24
Lose,98,52
Lose,94,52
Win,100,49
Win,117,42
Lose,91,52
Win,103,9
Lose,90,52
Win,118,49
Lose,99,52
Win,109,51
Win,117,24
Win,109,22
Win,115,52
Win,112,45
Lose,94,52
Lose,96,52
Lose,97,52
Win,102,45
Win,104,32
Win,100,34
Win,102,32
Win,103,52
Win,106,34
Win,105,49
Win,107,29
Win,105,42
Win,102,52
Win,112,49
Win,114,8
Win,101,28
Win,106,19
Win,111,43
Win,113,39
Win,102,39
Win,107,21
Win,112,37
Win,104,50
Win,100,27
Win,104,35
Win,102,12
Win,100,52
Win,122,28
Win,114,51
Win,103,38
Lose,87,52
Lose,94,52
Win,103,23
Win,101,42
Win,105,42
Win,103,41
Win,112,33
Win,102,52
Win,115,52
Win,102,51
Win,102,24
Win,110,29
Win,107,43
Win,119,26
Win,113,44
Win,101,51
Win,117,50
Win,112,50
Win,110,26
Win,101,42
Win,102,23
Win,100,20
Lose,97,52
Lose,89,52
Win,102,50
Win,104,47
Win,108,40
Win,100,19
Win,102,37
Win,101,42
Win,103,35
Win,100,34
Win,112,46
Win,121,10
Lose,95,52
Lose,89,52
Win,101,25
Win,113,34
Win,103,20
Win,111,48
Win,103,34
Win,107,52
Win,103,52
Win,107,52
Win,105,52
Win,110,31
Win,106,39
Win,102,27
Win,105,33
Lose,89,52
Win,122,10
Win,100,33
Win,115,47
Win,106,30
Win,105,39
Win,106,25
Win,106,48
Win,111,22
Win,107,46
Win,109,24
Win,107,48
Win,100,36
Win,108,39
Win,105,21
Lose,96,52
Win,109,47
Win,100,27
Win,111,19
Win,100,48
Win,108,34
Win,100,26
Win,114,44
Win,110,50
Lose,90,52
Win,104,48
Win,109,48
Win,100,15
Win,100,43
Win,101,16
Win,103,44
Win,106,52
Lose,83,52
Win,114,52
Win,110,26
Win,100,35
Win,102,21
Win,114,30
Win,111,49
Win,110,17
Win,101,29
Lose,92,52
Win,105,45
Win,102,48
Win,109,49
Win,107,41
Win,110,18
Win,102,20
Lose,86,52
Win,103,33
Win,108,51
Win,113,40
Lose,99,52
Win,116,40
Win,107,44
Win,101,30
Lose,91,52
Lose,89,52
Lose,96,52
Win,104,20
Lose,97,52
Win,100,48
Win,102,17
Win,105,18
Win,103,49
Win,106,47
Win,102,52
Win,101,41
Win,108,29
Win,105,24
Win,100,52
Lose,99,52
Win,104,34
Win,109,50
Win,103,51
Win,100,24
Win,100,43
Win,102,45
Win,103,45
Win,110,36
Win,124,21
Win,100,42
Lose,94,52
Lose,92,52
Win,105,48
Lose,97,52
Lose,99,52
Win,103,52
Win,107,49
Win,113,45
Win,102,34
Win,101,23
Win,107,52
Win,116,34
Win,102,45
Win,102,47
Win,101,27
Lose,96,52
Win,104,31
Win,119,21
Win,104,49
Win,106,29
Win,117,21
Win,115,43
Win,108,49
Win,106,51
Win,101,51
Win,100,43
Win,108,29
Win,111,31
Win,105,46
Win,108,52
Win,101,31
Win,110,49
Win,100,47
Lose,88,52
Win,101,14
Win,101,31
Lose,96,52
Win,104,38
Lose,97,52
Lose,91,52
Win,103,39
Win,100,50
Win,107,38
Win,111,42
Lose,86,52
Win,103,50
Win,102,52
Lose,98,52
Lose,96,52
Win,104,32
Win,104,52
Win,105,47
Win,105,41
Win,109,38
Win,104,35
Win,101,36
Win,112,21
Win,115,37
Win,102,49
Win,105,37
Win,102,31
Win,102,9
Win,109,47
Lose,86,52
Win,100,14
Win,116,36
Lose,90,52
Win,101,39
Win,103,20
Win,103,47
Win,100,24
Win,101,49
Win,119,31
Win,102,34
Win,110,50
Win,107,15
Win,107,13
Win,101,37
Win,101,45
Win,103,50
Win,107,42
Win,115,13
Win,103,46
Win,108,41
Win,107,46
Win,101,45
Win,100,49
Win,100,45
Win,127,21
Win,106,52
Lose,95,52
Win,100,52
Win,107,36
Win,101,37
Win,119,31
Win,106,41
Win,104,38
Lose,92,52
Lose,98,52
Win,104,41
Win,104,35
Win,114,42
Win,101,43
Win,100,26
Win,107,31
Win,100,51
Win,103,39
Win,102,46
Win,103,31
Win,112,24
Win,116,26
Win,101,49
Win,105,45
Win,102,39
Win,112,19
Win,102,45
Win,110,31
Win,116,52
Lose,96,52
Win,103,18
Win,120,50
Win,104,21
Win,103,36
Win,110,19
Lose,86,52
Win,108,35
Win,111,36
Win,107,35
Win,110,36
Win,111,37
Win,102,46
Win,103,27
Win,115,52
Lose,86,52
Win,104,26
Win,101,19
Win,105,49
Win,104,30
Lose,93,52
Win,111,16
Win,102,48
Win,102,44
Win,108,32
Win,101,43
Lose,94,52
Win,102,12
Win,100,50
Lose,98,52
Win,104,50
Win,108,34
Win,111,14
Win,107,52
Lose,90,52
Win,101,52
Win,100,35
Lose,95,52
Win,105,14
Win,111,22
Win,100,12
Lose,94,52
Win,103,12
Win,100,52
Win,101,36
Lose,90,52
Win,113,50
Win,100,17
Win,101,44
Win,112,51
Win,113,50
Win,112,48
Win,100,19
Win,102,36
Lose,91,52
Win,111,52
Win,101,10
Win,101,41
Win,103,35
Lose,99,52
Win,103,37
Win,119,33
Lose,92,52
Win,111,34
Win,105,32
Win,104,37
Win,110,37
Win,116,23
Lose,98,52
Win,115,39
Win,112,20
Win,105,48
Lose,85,52
Win,101,50
Win,108,49
Win,113,29
Win,112,47
Win,116,15
Win,109,18
Win,113,29
Win,114,29
Win,105,33
Lose,87,52
Win,122,31
Win,100,41
Lose,84,52
Win,104,35
Lose,89,52
Win,107,31
Win,107,45
Win,111,50
Lose,95,52
Win,112,23
Win,104,51
Win,106,40
